epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2354.19,0.82433,0.66234,1.18416,0.94807,0.96066,0.99086,0.76259,0.89861,0.43494,1.3019,0.000539275,0.000539275,0.000539275
43,2410.73,0.83536,0.64782,1.18205,0.96596,0.97323,0.99145,0.75898,0.93613,0.42872,1.34075,0.000511769,0.000511769,0.000511769
44,2466.75,0.84811,0.64362,1.1817,0.9739,0.96978,0.99407,0.80328,0.79009,0.39947,1.20926,0.000484263,0.000484263,0.000484263
45,2522.26,0.82787,0.61227,1.20229,0.97667,0.98429,0.99389,0.78135,0.85894,0.39184,1.26105,0.000456758,0.000456758,0.000456758
46,2578.05,0.84821,0.62098,1.19552,0.9713,0.9853,0.99417,0.78707,0.83434,0.38688,1.24841,0.000429253,0.000429253,0.000429253
47,2634.32,0.81007,0.59054,1.17687,0.9874,0.97568,0.99452,0.79797,0.79433,0.38149,1.21309,0.000401747,0.000401747,0.000401747
48,2690.29,0.80817,0.58637,1.16521,0.96148,0.98122,0.99362,0.77356,0.87879,0.39521,1.28357,0.000374242,0.000374242,0.000374242
49,2746.26,0.81352,0.58132,1.17081,0.98645,0.98453,0.99467,0.77219,0.88413,0.37232,1.28774,0.000346736,0.000346736,0.000346736
50,2802.37,0.81504,0.56504,1.19216,0.98981,0.98289,0.99471,0.79173,0.84024,0.35482,1.24587,0.000319231,0.000319231,0.000319231
51,2865.52,0.74696,0.46646,1.21885,0.97687,0.99461,0.99457,0.80681,0.80538,0.36055,1.21472,0.000291725,0.000291725,0.000291725
52,2922.89,0.73841,0.42255,1.18705,0.98566,0.9854,0.99477,0.79431,0.82915,0.36069,1.23227,0.00026422,0.00026422,0.00026422
53,2980.32,0.7262,0.39517,1.1946,0.98349,0.97988,0.99417,0.77347,0.89559,0.37232,1.29029,0.000236714,0.000236714,0.000236714
54,3037.33,0.72667,0.40405,1.18963,0.99231,0.98219,0.99453,0.79662,0.81648,0.3525,1.22045,0.000209209,0.000209209,0.000209209
55,3094.8,0.70596,0.3926,1.17701,0.98521,0.98258,0.99418,0.80282,0.79291,0.35849,1.20094,0.000181703,0.000181703,0.000181703
56,3151.68,0.69868,0.3759,1.17322,0.97473,0.9817,0.99409,0.79288,0.8464,0.36243,1.25333,0.000154198,0.000154198,0.000154198
57,3208.77,0.69051,0.3829,1.15198,0.99663,0.96367,0.99439,0.80392,0.7842,0.35398,1.19775,0.000126692,0.000126692,0.000126692
58,3266.66,0.69525,0.36257,1.15133,0.99068,0.9835,0.99463,0.79843,0.82082,0.34796,1.22144,9.91865e-05,9.91865e-05,9.91865e-05
59,3324.95,0.68218,0.34688,1.14325,0.99624,0.98099,0.99471,0.80943,0.77612,0.33903,1.18385,7.1681e-05,7.1681e-05,7.1681e-05
60,3382.69,0.67184,0.33626,1.1332,0.99608,0.96908,0.99446,0.79883,0.8139,0.3503,1.21252,4.41755e-05,4.41755e-05,4.41755e-05
